lemma	n
walk	165
run	99
drive	57
step	37
roll	34
jump	30
brush	20
hurry	18
drift	14
fly	12
slip	12
flinch	10
skip	10
slide	10
stagger	9
stumble	9
rush	8
swing	8
wander	8
creep	7
dance	7
race	7
bounce	6
dart	6
ride	6
spin	6
stalk	6
bound	5
climb	5
crawl	5
hike	5
streak	5
trip	5
dash	4
float	4
glide	4
spring	4
sprint	4
stomp	4
travel	4
bolt	3
burst	3
bustle	3
hop	3
plunge	3
slump	3
sneak	3
swim	3
wheel	3
clamp	2
leap	2
saunter	2
scramble	2
stray	2
stroll	2
wobble	2
limp	1
loop	1
lumber	1
meander	1
shamble	1
slosh	1
stride	1
tiptoe	1
tramp	1
